timestamp,message
1711582012676,"INIT_START Runtime Version: python:3.12.v21	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:0087788f33e3d6b95522422d734bb2b31308197021920fd844db09552d6fa015
"
1711582016331,"START RequestId: be5cf8c6-9dfc-4ef5-ad16-8959e035c908 Version: $LATEST
"
1711582023670,"Listando as IDs dos filmes em movies.csv
"
1711582027933,"14303 IDs distintos encontrados
"
1711582027977,"Recuperando dados do TMDB
"
1711582030366,"Batch processado | [1/287]
"
1711582032739,"Batch processado | [2/287]
"
1711582035120,"Batch processado | [3/287]
"
1711582037489,"Batch processado | [4/287]
"
1711582039864,"Batch processado | [5/287]
"
1711582042243,"Batch processado | [6/287]
"
1711582044564,"Batch processado | [7/287]
"
1711582046865,"Batch processado | [8/287]
"
1711582049252,"Batch processado | [9/287]
"
1711582051600,"Batch processado | [10/287]
"
1711582053965,"Batch processado | [11/287]
"
1711582056326,"Batch processado | [12/287]
"
1711582058690,"Batch processado | [13/287]
"
1711582061044,"Batch processado | [14/287]
"
1711582063487,"Batch processado | [15/287]
"
1711582065878,"Batch processado | [16/287]
"
1711582068288,"Batch processado | [17/287]
"
1711582070611,"Batch processado | [18/287]
"
1711582073035,"Batch processado | [19/287]
"
1711582075444,"Batch processado | [20/287]
"
1711582077838,"Batch processado | [21/287]
"
1711582080199,"Batch processado | [22/287]
"
1711582082549,"Batch processado | [23/287]
"
1711582084994,"Batch processado | [24/287]
"
1711582087333,"Batch processado | [25/287]
"
1711582089659,"Batch processado | [26/287]
"
1711582092100,"Batch processado | [27/287]
"
1711582094452,"Batch processado | [28/287]
"
1711582096888,"Batch processado | [29/287]
"
1711582099190,"Batch processado | [30/287]
"
1711582101640,"Batch processado | [31/287]
"
1711582104064,"Batch processado | [32/287]
"
1711582106354,"Batch processado | [33/287]
"
1711582108714,"Batch processado | [34/287]
"
1711582111163,"Batch processado | [35/287]
"
1711582113499,"Batch processado | [36/287]
"
1711582115858,"Batch processado | [37/287]
"
1711582118231,"Batch processado | [38/287]
"
1711582120593,"Batch processado | [39/287]
"
1711582122950,"Batch processado | [40/287]
"
1711582125284,"Batch processado | [41/287]
"
1711582127650,"Batch processado | [42/287]
"
1711582130029,"Batch processado | [43/287]
"
1711582132405,"Batch processado | [44/287]
"
1711582134719,"Batch processado | [45/287]
"
1711582137086,"Batch processado | [46/287]
"
1711582139410,"Batch processado | [47/287]
"
1711582141747,"Batch processado | [48/287]
"
1711582144257,"Batch processado | [49/287]
"
1711582146594,"Batch processado | [50/287]
"
1711582148979,"Batch processado | [51/287]
"
1711582151328,"Batch processado | [52/287]
"
1711582153728,"Batch processado | [53/287]
"
1711582156125,"Batch processado | [54/287]
"
1711582158502,"Batch processado | [55/287]
"
1711582160896,"Batch processado | [56/287]
"
1711582163213,"Batch processado | [57/287]
"
1711582165575,"Batch processado | [58/287]
"
1711582167856,"Batch processado | [59/287]
"
1711582179746,"Batch processado | [60/287]
"
1711582182056,"Batch processado | [61/287]
"
1711582184399,"Batch processado | [62/287]
"
1711582186690,"Batch processado | [63/287]
"
1711582188998,"Batch processado | [64/287]
"
1711582191294,"Batch processado | [65/287]
"
1711582193656,"Batch processado | [66/287]
"
1711582214961,"Batch processado | [67/287]
"
1711582217310,"Batch processado | [68/287]
"
1711582219663,"Batch processado | [69/287]
"
1711582222019,"Batch processado | [70/287]
"
1711582224363,"Batch processado | [71/287]
"
1711582226748,"Batch processado | [72/287]
"
1711582229135,"Batch processado | [73/287]
"
1711582231479,"Batch processado | [74/287]
"
1711582233897,"Batch processado | [75/287]
"
1711582236322,"Batch processado | [76/287]
"
1711582238633,"Batch processado | [77/287]
"
1711582240997,"Batch processado | [78/287]
"
1711582243453,"Batch processado | [79/287]
"
1711582245823,"Batch processado | [80/287]
"
1711582248215,"Batch processado | [81/287]
"
1711582250551,"Batch processado | [82/287]
"
1711582252923,"Batch processado | [83/287]
"
1711582255333,"Batch processado | [84/287]
"
1711582257689,"Batch processado | [85/287]
"
1711582260038,"Batch processado | [86/287]
"
1711582262368,"Batch processado | [87/287]
"
1711582264809,"Batch processado | [88/287]
"
1711582267178,"Batch processado | [89/287]
"
1711582269613,"Batch processado | [90/287]
"
1711582271997,"Batch processado | [91/287]
"
1711582274440,"Batch processado | [92/287]
"
1711582276823,"Batch processado | [93/287]
"
1711582279132,"Batch processado | [94/287]
"
1711582281523,"Batch processado | [95/287]
"
1711582283879,"Batch processado | [96/287]
"
1711582286253,"Batch processado | [97/287]
"
1711582288651,"Batch processado | [98/287]
"
1711582291062,"Batch processado | [99/287]
"
1711582293416,"Batch processado | [100/287]
"
1711582295816,"Batch processado | [101/287]
"
1711582298225,"Batch processado | [102/287]
"
1711582300598,"Batch processado | [103/287]
"
1711582302934,"Batch processado | [104/287]
"
1711582305329,"Batch processado | [105/287]
"
1711582307723,"Batch processado | [106/287]
"
1711582310200,"Batch processado | [107/287]
"
1711582312592,"Batch processado | [108/287]
"
1711582314967,"Batch processado | [109/287]
"
1711582317340,"Batch processado | [110/287]
"
1711582319687,"Batch processado | [111/287]
"
1711582322038,"Batch processado | [112/287]
"
1711582324450,"Batch processado | [113/287]
"
1711582326867,"Batch processado | [114/287]
"
1711582329262,"Batch processado | [115/287]
"
1711582331609,"Batch processado | [116/287]
"
1711582334010,"Batch processado | [117/287]
"
1711582336348,"Batch processado | [118/287]
"
1711582338708,"Batch processado | [119/287]
"
1711582341084,"Batch processado | [120/287]
"
1711582343568,"Batch processado | [121/287]
"
1711582345852,"Batch processado | [122/287]
"
1711582348192,"Batch processado | [123/287]
"
1711582350533,"Batch processado | [124/287]
"
1711582352878,"Batch processado | [125/287]
"
1711582355187,"Batch processado | [126/287]
"
1711582357557,"Batch processado | [127/287]
"
1711582359934,"Batch processado | [128/287]
"
1711582362347,"Batch processado | [129/287]
"
1711582364761,"Batch processado | [130/287]
"
1711582367131,"Batch processado | [131/287]
"
1711582369472,"Batch processado | [132/287]
"
1711582371838,"Batch processado | [133/287]
"
1711582374201,"Batch processado | [134/287]
"
1711582376549,"Batch processado | [135/287]
"
1711582378926,"Batch processado | [136/287]
"
1711582381308,"Batch processado | [137/287]
"
1711582383663,"Batch processado | [138/287]
"
1711582385939,"Batch processado | [139/287]
"
1711582388315,"Batch processado | [140/287]
"
1711582390653,"Batch processado | [141/287]
"
1711582393180,"Batch processado | [142/287]
"
1711582395562,"Batch processado | [143/287]
"
1711582398101,"Batch processado | [144/287]
"
1711582400469,"Batch processado | [145/287]
"
1711582402771,"Batch processado | [146/287]
"
1711582405128,"Batch processado | [147/287]
"
